Name,Score,Language,Domain,has_issue_headings,has_issue_regions,has_issue_image,has_issue_anchor,has_issue_table,has_issue_form,has_issue_lang,has_issue_title
OnBuy,13,en,.com/,False,False,True,False,False,True,False,False
OTTO,39,,.de/,False,False,True,True,False,True,True,False
Kaufland,69,,.de/,False,False,True,False,False,False,True,False
Migros Sanal Market,80,en,.com.tr/,True,True,False,False,False,False,False,False
Sahibinden,60,,.com/,True,True,False,False,False,False,True,True
GittiGidiyor,44,tr,.com/,False,False,True,False,False,True,False,False
Trendyol,24,tr,.com/,False,False,True,False,False,False,False,False
Grupanya,0,,.com/,False,True,True,True,True,True,True,False
n11,0,tr,.com/,False,False,True,True,False,True,False,False
ebebek,0,tr,.com/,False,False,True,False,False,True,False,False
PTTAvm,0,tr,.com/,False,True,True,False,False,True,False,False
Ciceksepeti,40,tr,.com/,True,False,True,False,False,True,False,False
Oto.net,72,,.net/,True,False,True,True,False,False,True,False
Morhipo,0,tr,.com/,True,False,True,True,False,False,False,False
Vivense,0,tr,.com/,False,False,True,True,False,True,False,False
ÝnceHesap,0,tr,.com/,False,False,True,True,False,True,False,False
Avansas,0,tr,.com/,False,False,True,True,False,True,False,False
Dolap,0,tr,.com/,False,False,True,True,False,True,False,False
Letgo,37,tr,.com/,False,False,True,False,False,True,False,False
Iyzico,77,tr,.com/,False,False,True,True,False,True,False,False
Modacruz,10,tr,.com/,False,True,True,False,False,True,False,False
Tatilsepeti,34,tr,.com/,False,False,True,True,False,True,False,False
Kitapyurdu,0,tr,.com/,False,True,True,True,False,True,False,False
Kitapsec,0,tr,.com/,False,True,True,True,True,True,False,False
Idefix,0,tr,.com/,False,False,True,True,True,False,False,False
DR,22,tr,.com.tr/,False,False,True,True,False,False,False,False
Supplementler,5,tr,.com/,False,True,True,True,False,True,False,False
Hopi,0,tr,.com.tr/,False,False,True,True,False,True,False,False
Ofix,0,tr,.com/,False,False,True,True,True,True,False,False
AustralianGovernment,33,en,.gov.au,False,False,True,True,False,True,False,False
BelgiumGovernment,83,nl,.ibz.be/,False,False,True,False,False,True,False,False
CanadaGovernment,38,en,.ca/,False,False,True,False,False,True,False,False
DenmarkGovernment,79,dk,.dk/,False,False,True,False,False,True,False,False
FinlandGovernment,93,fi,.fi/,False,False,True,True,False,True,False,False
FranceGovernment,84,fr,.fr,False,True,True,False,True,True,False,False
GermanGovernment,82,de,.de/,False,False,True,False,False,False,False,False
HongKongGovernment,77,hk,.gov.hk/,False,False,True,True,False,False,False,False
IrelandGovernment,71,ie,.gov.ie/,False,True,True,False,True,True,False,False
ItalyGovernment,92,it,.gov.it/,False,False,True,False,False,False,False,False
NetherlandsGovernment,83,nl,.nl/,False,False,True,True,False,False,False,False
NewZealandGovernment,81,en,.nz,False,False,True,False,False,False,False,False
NorwayGovernment,93,no,.udi.no/,False,False,True,True,False,False,False,False
SingaporeGovernment,58,en,.gov.sg,False,False,True,True,False,True,False,False
SouthAfricaGovernment,16,en,.gov.za,False,False,True,True,True,True,False,False
SpainGovernment,62,es,.gob.es,False,True,True,False,False,True,False,False
SwedenGovernment,82,sw,.se/,False,False,True,True,False,True,False,False
SwitzerlandGovernment,86,en,.ch/,False,False,True,True,True,False,False,False
UKGovernment,83,en,.gov.uk,False,False,True,False,False,True,False,False
USGovernment,81,en,.gov,False,False,True,True,False,True,False,False
RussianGovernment,74,ru,.ru/,True,False,True,True,False,False,False,False
UkraniaGovernment,43,ua,.gov.ua/,False,False,True,False,False,True,False,False
PolishGovernment,0,pl,.gov.pl/,False,False,True,False,False,True,False,False
RomanianGovernment,2,,.ro/,False,True,True,False,False,True,True,False
CzechGovernment,79,cs,.cz/,False,False,True,False,False,True,False,False
GreekGovernment,46,el,.gov.gr/,False,False,True,True,False,True,False,False
PortugalGovernment,0,pt,.gov.pt/,False,False,True,True,False,True,False,False
HungaryGovernment,87,hu,.gov.hu/,False,True,True,False,False,False,False,False
AustriaGovernment,88,de,.gv.at/,False,False,True,False,False,True,False,False
SerbianGovernment,0,sr,.gov.rs/,False,False,True,True,False,True,False,False
BulgarianGovernment,90,bg,.gov.bg/,False,False,True,True,False,True,False,False
SlovakiaGovernment,28,sk,.gov.sk/,True,True,True,False,True,True,False,False
CrotiaGovernment,75,,.gov.hr/,False,False,True,False,False,True,True,False
MoldovaGovernment,6,ro,.md/,False,False,True,False,False,True,False,False
BosniaAndHerzegovinaGovernment,9,,.gov.ba/,False,True,True,True,True,False,True,False
LithuaniaGovernment,74,en,.lt/,False,False,True,True,False,True,False,False
NorthMacedoniaGovernment,13,mk,.mk/,False,False,True,False,True,True,False,False
LatviaGovernment,0,,.lv/,False,False,True,True,True,True,True,False
EstoniaGovernment,74,et,.ee/,False,False,True,True,False,True,False,False
MontenegroGovernment,86,sr,.gov.me/,False,False,True,False,False,True,False,False
LuxembourgGovernment,42,fr,.lu/,False,False,True,False,False,False,False,False
MaltaGovernment,74,mt,.gov.mt/,False,False,True,True,False,True,False,False
AndorraGovernment,34,ca,.ad/,False,False,True,False,True,True,False,False
MonacoGovernment,67,fr,.mc/,False,True,True,True,False,True,False,False
LiechtensteinGovernment,57,,.li/,False,False,True,True,False,True,True,False
SanMarinoGovernment,90,it,.gov.sm/,False,False,True,False,False,True,False,False
HolySee,0,,.va/,False,False,True,True,False,True,True,False
TurkishGovernment,63,tr,.gov.tr/,False,False,True,True,False,True,False,False
BrasilGovernment,60,br,.gov.br/,False,False,True,True,False,True,False,False
MexicoGovernment,80,en,.gob.mx,True,True,False,False,False,False,False,False
ColombiaGovernment,80,es,.gov.co/,True,True,False,False,False,False,False,False
ArgentinaGovernment,92,es,.gob.ar/,False,False,True,True,False,True,False,False
PeruGovernment,96,es,.gob.pe/,False,False,True,False,False,True,False,False
ChileGovernment,58,es,.gob.cl/,False,False,True,True,False,False,False,False
GuatemalaGovernment,0,es,.gob.gt/,False,True,True,True,False,True,False,False
EcuadorGovernment,79,es,.gob.ec/,False,False,True,True,False,True,False,False
BoliviaGovernment,81,,.gob.bo/,False,False,True,False,False,True,True,False
ThailandGovernment,0,,.go.th/,True,True,True,True,True,True,True,False
SouthKoreaGovernment,0,k,.go.kr/,False,False,True,False,False,True,False,False
IraqGovernment,54,,.gov.iq/,True,False,True,True,False,True,True,False
SaudiArabiaGovernment,11,ar,.gov.sa/,False,True,True,True,True,True,False,False
MalaysiaGovernment,80,en,.gov.my/,True,True,False,False,False,False,False,False
YemenGovernment,0,ye,.gov.ye/,True,True,True,False,True,True,False,False
NepalGovernment,74,en,.gov.np/,True,True,True,False,False,False,False,False
SriLankaGovernment,80,en,.gov.lk/,False,True,True,False,False,False,False,False
KazakhstanGovernment,70,kk,.gov.kz/,True,True,False,False,False,False,False,True
CambodiaGovernment,0,en,.gov.kh/,False,False,True,True,False,True,False,False
JordanGovernment,0,ar,.gov.jo/,False,False,True,True,True,True,False,False
AzerbaijanGovernment,49,,.gov.az/,False,False,True,True,False,True,True,False
UnitedArabEmiratesGovernment,66,ar,.ae/,False,False,True,True,False,False,False,False
IsraelGovernment,60,,.gov.il/,True,True,False,False,False,False,True,True
SingaporeGovernment,97,en,.gov.sg/,False,False,True,False,False,False,False,False
KuwaitGovernment,0,ar,.gov.kw/,False,False,True,True,True,True,False,False
GeorgiaGovernment,47,en,.gov/,False,False,True,True,False,False,False,False
QatarGovernment,82,ar,.gov.qa/,False,False,True,True,False,False,False,False
BahrainGovernment,72,ar,.bh/,False,False,True,True,True,True,False,False
TimorLesteGovernment,48,en,.gov.tl/,False,True,True,True,False,True,False,False
BhutanGovernment,70,,.gov.bt/,True,True,False,False,False,False,True,False
MaldivesGovernment,70,,.gov.bt/,True,True,False,False,False,False,True,False
BruneiGovernment,0,en,.gov.bn/,False,False,True,True,True,True,False,False
JapanGovernment,53,jp,.go.jp/,False,False,True,False,True,False,False,False
PhilippineGovernment,54,ph,.gov.ph/,False,False,True,False,True,True,False,False
PakistanGovernment,40,,.gov.pk/,False,True,True,True,True,False,True,False
SamoaGovernment,80,en,.ws/,False,False,True,False,False,True,False,False
TurkmenistanGovernment,59,tk,.gov.tm/,False,False,True,True,False,True,False,False
NigeriaGovernment,68,en,.gov.ng/,False,False,True,True,False,True,False,False
EgyptGovernment,39,ar,.gov.eg/,False,True,True,True,True,True,False,False
MoroccoGovernment,86,ar,.ma/,False,False,True,True,False,True,False,False
GhanaGovernment,92,en,.gov.gh/,False,False,True,False,False,False,False,False
TanzaniaGovernment,0,,.go.tz/,False,True,True,True,True,True,True,False
